x,y,is_goal,Assisted,IndividualPlay,RegularPlay,LeftFoot,RightFoot,FromCorner,FirstTouch,Head,BigChance,SetPiece,Volley,FastBreak,ThrowinSetPiece,Penalty,OneOnOne,KeyPass,OtherBodyPart,shot_distance,period_FirstHalf,period_SecondHalf,Zone_Back,Zone_Center,Zone_Left,Zone_Right
85.0,68.5,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,23.817010727629107,True,False,False,True,False,False
83.1,70.1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,26.260616900598507,True,False,False,True,False,False
74.9,57.1,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,26.084861510078976,True,False,False,True,False,False
93.9,31.6,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,19.38478785027063,False,True,False,True,False,False
92.1,48.1,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,8.125269226308756,False,True,False,True,False,False
81.2,48.7,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,18.84489320744482,False,True,False,True,False,False
89.3,67.7,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,20.68284313144593,False,True,False,True,False,False
85.1,50.1,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,14.900335566691112,False,True,False,True,False,False
91.4,59.3,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,12.666885963013952,False,True,False,True,False,False
85.0,55.7,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.0464949443796,False,True,False,True,False,False
78.1,60.1,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24.116799124261913,True,False,False,True,False,False
87.8,31.5,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,22.160550534677608,True,False,False,True,False,False
73.0,60.2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,28.862432329933664,True,False,False,True,False,False
81.5,53.9,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18.906612599828662,True,False,False,True,False,False
92.1,47.6,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,8.256512580987211,True,False,False,True,False,False
91.5,54.8,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,9.761659694949419,True,False,False,True,False,False
90.6,85.3,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,36.5301245549478,True,False,False,False,True,False
97.6,43.4,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,7.022819946431778,True,False,False,True,False,False
93.4,36.0,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,15.47772593115668,True,False,False,True,False,False
77.8,48.9,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,22.227235545609357,True,False,False,True,False,False
93.5,42.4,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,10.000499987500627,False,True,False,True,False,False
74.0,49.1,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,26.0155722597063,False,True,False,True,False,False
88.0,29.3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,23.926763257908497,True,False,False,True,False,False
77.5,65.6,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,27.379006556118863,True,False,False,True,False,False
43.7,73.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,61.12389058297909,False,True,True,False,False,False
79.6,62.4,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,23.872997298202844,False,True,False,True,False,False
85.8,33.1,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,22.073740054644116,False,True,False,True,False,False
80.9,37.4,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,22.881652038259823,False,True,False,True,False,False
90.6,57.9,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,12.278843593759149,False,True,False,True,False,False
79.3,58.1,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,22.228360263411247,False,True,False,True,False,False
86.8,49.3,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,13.218547575282244,False,True,False,True,False,False
93.7,49.7,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,6.3071388124885885,False,True,False,True,False,False
88.2,62.3,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,17.044940598312447,False,True,False,True,False,False
72.5,58.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,28.78367592924851,False,True,False,True,False,False
82.7,70.9,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,27.13116289435453,False,True,False,True,False,False
81.1,37.8,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,22.49555511651136,False,True,False,True,False,False
90.3,46.2,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,10.417773274553447,False,True,False,True,False,False
95.5,53.2,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,5.5217750769114105,False,True,False,True,False,False
90.2,43.2,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,11.928118040998752,True,False,False,True,False,False
